LOGNAME,1823514,0007/0001.csv
ACC,2902887,80032,-218624,983320
MSG,2902929,Gyroscope not ready
GYRS,2902934,100000000
ACC,2906435,76128,-218624,985760
MSG,2906477,Gyroscope not ready
GYRS,2906481,100000000
ACC,2910025,79056,-222528,982344
MSG,2910067,Gyroscope not ready
GYRS,2910072,100000000
ACC,2913573,74176,-220576,984784
MSG,2913615,Gyroscope not ready
GYRS,2913619,100000000
ACC,2917121,79056,-225456,979904
MSG,2917163,Gyroscope not ready
GYRS,2917181,100000000
ACC,2920670,77104,-220576,983320
MSG,2920712,Gyroscope not ready
GYRS,2920717,100000000
ACC,2924218,78080,-216672,987224
MSG,2924260,Gyroscope not ready
GYRS,2924265,100000000
ACC,2927809,76128,-224480,983320
MSG,2927851,Gyroscope not ready
GYRS,2927856,100000000
ACC,2931357,73688,-223504,981368
MSG,2931399,Gyroscope not ready
GYRS,2931403,100000000
ACC,2934905,75152,-230336,982344
MSG,2934947,Gyroscope not ready
GYRS,2934951,100000000
ACC,2938452,73200,-219600,983320
MSG,2938508,Gyroscope not ready
GYRS,2938513,100000000
ACC,2942040,78080,-223504,981368
MSG,2942082,Gyroscope not ready
GYRS,2942087,100000000
ACC,2945585,77104,-220576,979904
MSG,2945627,Gyroscope not ready
GYRS,2945631,100000000
ACC,2949133,78080,-222528,985272
MSG,2949174,Gyroscope not ready
GYRS,2949179,100000000
ACC,2952680,78080,-219600,982344
MSG,2952722,Gyroscope not ready
GYRS,2952727,100000000
ACC,2956224,77104,-214720,983320
MSG,2956266,Gyroscope not ready
GYRS,2956271,100000000
ACC,2959273,74176,-222528,978928
MSG,3160001,Gyroscope not ready
GYRS,3160006,100000000
MSG,3163004,Accelerometer not ready
ACCS,3163009,100000000
MSG,3163045,Gyroscope not ready
GYRS,3163050,100000000
ACC,3166552,75152,-221552,981368
MSG,3166593,Gyroscope not ready
GYRS,3166598,100000000
ACC,3170102,75152,-222528,981856
MSG,3170144,Gyroscope not ready
GYRS,3170149,100000000
ACC,3173691,76128,-224480,980880
MSG,3173732,Gyroscope not ready
GYRS,3173737,100000000
ACC,3177241,78080,-220576,987224
MSG,3177296,Gyroscope not ready
GYRS,3177301,100000000
ACC,3180787,76128,-219600,982344
MSG,3180828,Gyroscope not ready
GYRS,3180833,100000000
ACC,3184332,75152,-221552,982832
MSG,3184373,Gyroscope not ready
GYRS,3184378,100000000
ACC,3187882,75152,-211792,982344
MSG,3187923,Gyroscope not ready
GYRS,3187928,100000000
ACC,3191475,76128,-214720,981856
MSG,3191516,Gyroscope not ready
GYRS,3191521,100000000
ACC,3195019,75152,-220576,984296
MSG,3195061,Gyroscope not ready
GYRS,3195066,100000000
ACC,3198571,79056,-225456,985760
MSG,3198613,Gyroscope not ready
GYRS,3198617,100000000
ACC,3202118,77104,-217648,981856
MSG,3202159,Gyroscope not ready
GYRS,3202164,100000000
ACC,3205710,76128,-220576,980880
MSG,3205752,Gyroscope not ready
GYRS,3205757,100000000
ACC,3209254,80032,-213744,984296
MSG,3209296,Gyroscope not ready
GYRS,3209301,100000000
ACC,3212804,71736,-218624,980392
MSG,3212846,Gyroscope not ready
GYRS,3212851,100000000
ACC,3216354,75152,-222528,981368
MSG,3216395,Gyroscope not ready
GYRS,3216414,100000000
ACC,3219905,73200,-218624,985760
MSG,3219947,Gyroscope not ready
GYRS,3219951,100000000
ACC,3223497,79056,-220576,978440
MSG,3223539,Gyroscope not ready
GYRS,3223543,100000000
ACC,3227043,77104,-225456,977952
MSG,3227085,Gyroscope not ready
GYRS,3227089,100000000
ACC,3230592,76128,-218624,985760
MSG,3230634,Gyroscope not ready
GYRS,3230638,100000000
ACC,3234140,77104,-218624,976000
MSG,3234182,Gyroscope not ready
GYRS,3234187,100000000
ACC,3237732,78080,-221552,983320
MSG,3237787,Gyroscope not ready
GYRS,3237792,100000000
ACC,3241276,71736,-222528,978928
MSG,3241318,Gyroscope not ready
GYRS,3241323,100000000
ACC,3244825,75152,-222528,981856
MSG,3244867,Gyroscope not ready
GYRS,3244871,100000000
ACC,3248369,75152,-223504,984296
MSG,3248410,Gyroscope not ready
GYRS,3248415,100000000
ACC,3251917,79056,-220576,988688
MSG,3251958,Gyroscope not ready
GYRS,3251963,100000000
ACC,3255503,81984,-221552,988688
MSG,3255545,Gyroscope not ready
GYRS,3255549,100000000
ACC,3259053,79056,-218624,986248
MSG,3259095,Gyroscope not ready
GYRS,3259099,100000000
ACC,3262598,78080,-219600,977952
MSG,3262639,Gyroscope not ready
GYRS,3262644,100000000
ACC,3266146,70760,-220576,981856
MSG,3266188,Gyroscope not ready
GYRS,3266193,100000000
ACC,3269737,81984,-218624,975024
MSG,3269779,Gyroscope not ready
GYRS,3269784,100000000
ACC,3273280,79056,-223504,980392
MSG,3273322,Gyroscope not ready
